"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []","Voltage [V]"
6.2196004544,-4.99992E-005,0,0.0047304003456,0,0,-1,92.6002454977232,0.952938758961649
6.241500456,-4.99992E-005,0,0.004708500344,0,0,-1,92.8811816656062,0.950907737185825
6.2634004576,-4.99992E-005,0,0.0046866003424,0,0,-1,93.1621178334892,0.948870562907476
6.2853004592,-4.99992E-005,0,0.0046647003408,0,0,-1,93.4430540013721,0.9468272361266
6.3072004608,-4.99992E-005,0,0.0046428003392,0,0,-1,93.6148541735014,0.944778759145153
6.3291004624,-4.99992E-005,0,0.0046209003376,0,0,-1,93.7683368722489,0.942726913053295
6.351000464,-4.99992E-005,0,0.004599000336,0,0,-1,93.9218195709965,0.94067170569009
6.3729004656,-4.99992E-005,0,0.0045771003344,0,0,-1,94.1129641839003,0.938612647925431
6.3948004672,-4.99992E-005,0,0.0045552003328,0,0,-1,94.2368274144686,0.936550217556749
6.4167004688,-4.99992E-005,0,0.0045333003312,0,0,-1,94.3606906450368,0.934485074583119
6.4386004704,-4.99992E-005,0,0.0045114003296,0,0,-1,94.5114404139377,0.932417210989743
6.460500472,-4.99992E-005,0,0.004489500328,0,0,-1,94.6045616726808,0.930346390615602
6.4824004736,-4.99992E-005,0,0.0044676003264,0,0,-1,94.6976829314238,0.928273530885745
6.5043004752,-4.99992E-005,0,0.0044457003248,0,0,-1,94.7908041901669,0.926198631800173
6.5262004768,-4.99992E-005,0,0.0044238003232,0,0,-1,94.8839254489099,0.924121693358885
6.5481004784,-4.99992E-005,0,0.0044019003216,0,0,-1,94.9609247195952,0.922042802865619
6.57000048,-4.99992E-005,0,0.00438000032,0,0,-1,95.0256258539167,0.91996244998485
6.5919004816,-4.99992E-005,0,0.0043581003184,0,0,-1,95.0903269882382,0.917880680149136
6.6138004832,-4.99992E-005,0,0.0043362003168,0,0,-1,95.1550281225597,0.915797493358476
6.6357004848,-4.99992E-005,0,0.0043143003152,0,0,-1,95.2267820153553,0.913712732228895
