"Distance [mm]","XCoord []","YCoord []","ZCoord []","TangUnitVecX []","TangUnitVecY []","TangUnitVecZ []","E_Tang []"
4.5552003328,-0.001,0,0.0054447996672,0,0,-1,3.94819375422213
4.5771003344,-0.001,0,0.0054228996656,0,0,-1,3.94311192888193
4.599000336,-0.001,0,0.005400999664,0,0,-1,3.93803010354173
4.6209003376,-0.001,0,0.0053790996624,0,0,-1,3.93294827820154
4.6428003392,-0.001,0,0.0053571996608,0,0,-1,3.92786645286134
4.6647003408,-0.001,0,0.0053352996592,0,0,-1,3.92278462752114
4.6866003424,-0.001,0,0.0053133996576,0,0,-1,3.91770280218094
4.708500344,-0.001,0,0.005291499656,0,0,-1,3.91262097684074
4.7304003456,-0.001,0,0.0052695996544,0,0,-1,3.90753915150054
4.7523003472,-0.001,0,0.0052476996528,0,0,-1,3.90245732616035
4.7742003488,-0.001,0,0.0052257996512,0,0,-1,3.89737550082015
4.7961003504,-0.001,0,0.0052038996496,0,0,-1,3.88020481750895
4.818000352,-0.001,0,0.005181999648,0,0,-1,3.87247591276186
4.8399003536,-0.001,0,0.0051600996464,0,0,-1,3.86474700801476
4.8618003552,-0.001,0,0.0051381996448,0,0,-1,3.85701810326766
4.8837003568,-0.001,0,0.0051162996432,0,0,-1,3.84928919852056
4.9056003584,-0.001,0,0.0050943996416,0,0,-1,3.84156029377347
4.92750036,-0.001,0,0.00507249964,0,0,-1,3.83383138902637
4.9494003616,-0.001,0,0.0050505996384,0,0,-1,3.82610248427927
4.9713003632,-0.001,0,0.0050286996368,0,0,-1,3.81837357953217
4.9932003648,-0.001,0,0.0050067996352,0,0,-1,3.81064467478508
5.0151003664,-0.0009848996336,0,0.005,1,0,0,0.00503367615941089
5.037000368,-0.000962999632,0,0.005,1,0,0,0.0153563694652888
5.0589003696,-0.0009410996304,0,0.005,1,0,0,0.0256790627711667
5.0808003712,-0.000919199628799999,0,0.005,1,0,0,0.0360017560770451
5.1027003728,-0.0008972996272,0,0.005,1,0,0,0.046324449382923
5.1246003744,-0.0008753996256,0,0.005,1,0,0,0.0566471426888009
5.146500376,-0.000853499624,0,0.005,1,0,0,0.0669698359946788
5.1684003776,-0.000831599622400001,0,0.005,1,0,0,0.0772925293005567
5.1903003792,-0.0008096996208,0,0.005,1,0,0,0.0876152226064351
5.2122003808,-0.0007877996192,0,0.005,1,0,0,0.097937915912313
5.2341003824,-0.000765899617600001,0,0.005,1,0,0,0.108260609218191
5.256000384,-0.000743999616,0,0.005,1,0,0,0.118583302524069
5.2779003856,-0.0007220996144,0,0.005,1,0,0,0.12446047816372
5.2998003872,-0.000700199612800001,0,0.005,1,0,0,0.148100233826035
5.3217003888,-0.0006782996112,0,0.005,1,0,0,0.171739989488352
5.3436003904,-0.0006563996096,0,0.005,1,0,0,0.195379745150668
5.365500392,-0.000634499608,0,0.005,1,0,0,0.219019500812984
